Draft,player,
1, Christian McCaffrey,1
2, Saquon Barkley,2
3, Ezekiel Elliott,3
4, Dalvin Cook,4
5, Alvin Kamara,5
6, Michael Thomas,6
7, Derrick Henry,7
8, Miles Sanders,8
9, Clyde Edwards-Helaire,9
10, Kenyan Drake,10
11, Nick Chubb,11
12, Josh Jacobs,12
13, Aaron Jones,12
14, Austin Ekeler,11
15, Joe Mixon,10
16, Davante Adams,9
17, DeAndre Hopkins,8
18, Julio Jones,7
19, Tyreek Hill,6
20, Travis Kelce,5
21, Chris Godwin,4
22, Mike Evans,3
23, George Kittle,2
24, Kenny Golladay,1
25, DJ Moore,1
26, Allen Robinson II,2
27, Adam Thielen,3
28, JuJu Smith-Schuster,4
29, Amari Cooper,5
30, Courtland Sutton,6
31, Odell Beckham Jr,7
32, Calvin Ridley,8
33, A.J. Brown,9
34, Lamar Jackson,10
35, Patrick Mahomes,11
36, Robert Woods,12
37, Tyler Lockett,12
38, Cooper Kupp,11
39, Chris Carson,10
40, David Johnson,9
41, Mark Andrews,8
42, Zach Ertz,7
43, Todd Gurley II,6
44, Melvin Gordon,5
45, James Conner,4
46, Le'Veon Bell,3
47, Jonathan Taylor,2
48, Devin Singletary,1
49, D'Andre Swift,
50, Keenan Allen,
51, T.Y. Hilton,
52, Terry McLaurin,
53, Jarvis Landry,
54, DK Metcalf,
55, DJ Chark Jr,
56, Cam Akers,
57, Kareem Hunt,
58, David Montgomery,
59, Ronald Jones II,
60, Raheem Mostert,
61, DeVante Parker,
62, Tyler Boyd,
63, A.J. Green,
64, Stefon Diggs,
65, Michael Gallup,
66, Will Fuller V,
67, Marquise Brown,
68, Deebo Samuel,
69, Darren Waller,
70, Tarik Cohen,
71, Mark Ingram II,
72, Kerryon Johnson,
73, Deshaun Watson,
74, Kyler Murray,
75, Dak Prescott,
76, Russell Wilson,
77, Marvin Jones Jr,
78, Brandin Cooks,
79, Diontae Johnson,
80, Jamison Crowder,
81, Julian Edelman,
82, Evan Engram,
83, Tyler Higbee,
84, Darrell Henderson Jr,
85, Phillip Lindsay,
86, James White,
87, Jordan Howard,
88, Matt Breida,
89, J.K. Dobbins,
90, Zack Moss,
91, Ryquell Armstead,
92, Tevin Coleman,
93, Sterling Shepard,
94, Christian Kirk,
95, Golden Tate,
96, Preston Williams,
97, Robby Anderson,
98, Darius Slayton,
99, John Brown,
100, Henry Ruggs III,
